Symbol,Company Name,Industry,Sector
TATAELXSI,Tata Elxsi Limited,Computers - Software & Consulting,Unknown
TATAINVEST,Tata Investment Corporation Limited,Investment Company,Unknown
TATAPOWER,Tata Power Company Limited,Integrated Power Utilities,Unknown
TATASTEEL,Tata Steel Limited,Iron & Steel,Unknown
TATATECH,Tata Technologies Limited,IT Enabled Services,Unknown
TBOTEK,TBO Tek Limited,Tour Travel Related Services,Unknown
TCS,Tata Consultancy Services Limited,Computers - Software & Consulting,Unknown
TECHM,Tech Mahindra Limited,Computers - Software & Consulting,Unknown
TECHNOE,Techno Electric & Engineering Company Limited,Civil Construction,Unknown
TEGA,Tega Industries Limited,Industrial Products,Unknown
TEJASNET,Tejas Networks Limited,Telecom - Equipment & Accessories,Unknown
TENNIND,Tenneco Clean Air India Limited,Auto Components & Equipments,Unknown
THELEELA,Leela Palaces Hotels & Resorts Limited,Hotels & Resorts,Unknown
THERMAX,Thermax Limited,Heavy Electrical Equipment,Unknown
TIINDIA,Tube Investments of India Limited,Auto Components & Equipments,Unknown
TIMKEN,Timken India Limited,Abrasives & Bearings,Unknown
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Railway Wagons,Unknown
TITAN,Titan Company Limited,Gems Jewellery And Watches,Unknown
TMCV,Tata Motors Limited,Commercial Vehicles,Unknown
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles,Unknown
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,Unknown
TORNTPOWER,Torrent Power Limited,Integrated Power Utilities,Unknown
TRAVELFOOD,Travel Food Services Limited,Restaurants,Unknown
TRENT,Trent Limited,Speciality Retail,Unknown
TRIDENT,Trident Limited,Other Textile Products,Unknown
TRITURBINE,Triveni Turbine Limited,Heavy Electrical Equipment,Unknown
TTML,Tata Teleservices (Maharashtra) Limited,Telecom - Cellular & Fixed line services,Unknown
TVSMOTOR,TVS Motor Company Limited,2/3 Wheelers,Unknown
UBL,United Breweries Limited,Breweries & Distilleries,Unknown
UCOBANK,UCO Bank,Public Sector Bank,Unknown
ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products,Unknown
UNIONBANK,Union Bank of India,Public Sector Bank,Unknown
UNITDSPR,United Spirits Limited,Breweries & Distilleries,Unknown
UNOMINDA,UNO Minda Limited,Auto Components & Equipments,Unknown
UPL,UPL Limited,Pesticides & Agrochemicals,Unknown
URBANCO,Urban Company Limited,E-Retail/ E-Commerce,Unknown
USHAMART,Usha Martin Limited,Iron & Steel Products,Unknown
UTIAMC,UTI Asset Management Company Limited,Asset Management Company,Unknown
VBL,Varun Beverages Limited,Other Beverages,Unknown
VEDL,Vedanta Limited,Diversified Metals,Unknown
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare Service Provider,Unknown
VMM,Vishal Mega Mart Limited,Diversified Retail,Unknown
VOLTAS,Voltas Limited,Household Appliances,Unknown
VTL,Vardhman Textiles Limited,Other Textile Products,Unknown
WAAREEENER,Waaree Energies Limited,Other Electrical Equipment,Unknown
WELCORP,Welspun Corp Limited,Iron & Steel Products,Unknown
WELSPUNLIV,Welspun Living Limited,Other Textile Products,Unknown
WHIRLPOOL,Whirlpool of India Limited,Household Appliances,Unknown
WIPRO,Wipro Limited,Computers - Software & Consulting,Unknown
WOCKPHARMA,Wockhardt Limited,Pharmaceuticals,Unknown
YESBANK,Yes Bank Limited,Private Sector Bank,Unknown
ZEEL,Zee Entertainment Enterprises Limited,TV Broadcasting & Software Production,Unknown
ZENSARTECH,Zensar Technologies Limited,Computers - Software & Consulting,Unknown
ZENTEC,Zen Technologies Limited,Aerospace & Defense,Unknown
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Auto Components & Equipments,Unknown
ZYDUSLIFE,Zydus Lifesciences Limited,Pharmaceuticals,Unknown
ZYDUSWELL,Zydus Wellness Limited,Packaged Foods,Unknown
